title,director,country,spine,url,img,year
Eclipse Series 10: Silent Ozu—Three Family Comedies,,,,https://www.criterion.com/boxsets/532-eclipse-series-10-silent-ozu-three-family-comedies,https://s3.amazonaws.com/criterion-production/product_images/1786-8447e52d3cf78bdfcc795cb64e263666/GnBLRWn7depVNSvGLup8XF7FrAmTcZ_small.jpg,
Eclipse Series 11: Larisa Shepitko,,,,https://www.criterion.com/boxsets/75-eclipse-series-11-larisa-shepitko,https://s3.amazonaws.com/criterion-production/product_images/1787-b0c0c8cb24d6733eadfa012453ea8076/XsYEpttZ77keADoQ0wqmXPgNX7Lb7k_small.jpg,
Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy,,,,https://www.criterion.com/boxsets/564-eclipse-series-12-aki-kaurism-ki-s-proletariat-trilogy,https://s3.amazonaws.com/criterion-production/product_images/1916-dfbddaafe1aff758946babd2864c09b5/GKwtbmlAN9QlTf7n6KeyUHD1L88ZzH_small.jpg,
Eclipse Series 13: Kenji Mizoguchi’s Fallen Women,,,,https://www.criterion.com/boxsets/571-eclipse-series-13-kenji-mizoguchi-s-fallen-women,https://s3.amazonaws.com/criterion-production/product_images/1789-30ad4b0592cbff2c6526fb4c49b7bd67/Rz7ca7BIMM5JbONK3QdUE9B59KWHLH_small.jpg,
Eclipse Series 14: Rossellini’s History Films—Renaissance and Enlightenment,,,,https://www.criterion.com/boxsets/582-eclipse-series-14-rossellini-s-history-films-renaissance-and-enlightenment,https://s3.amazonaws.com/criterion-production/product_images/1790-28ceda09f3ec8272b12ccae6e8948ccc/WQLQUtATQyb2uRwexodaagYnm8VL0y_small.jpg,
Eclipse Series 15: Travels with Hiroshi Shimizu,,,,https://www.criterion.com/boxsets/601-eclipse-series-15-travels-with-hiroshi-shimizu,https://s3.amazonaws.com/criterion-production/product_images/1791-33ac56c0ab6c46473fbb827201db6455/cl4pDTM4ZYZyfvJyUFlcDrISlIuq1Z_small.jpg,
Eclipse Series 16: Alexander Korda’s Private Lives,,,,https://www.criterion.com/boxsets/618-eclipse-series-16-alexander-korda-s-private-lives,https://s3.amazonaws.com/criterion-production/product_images/1792-9c7fc9fe72c1452bdcb47e93fc30d9fc/upVBpiNpMTno5TapW08e3GoWZshBAi_small.jpg,
Eclipse Series 17: Nikkatsu Noir,,,,https://www.criterion.com/boxsets/655-eclipse-series-17-nikkatsu-noir,https://s3.amazonaws.com/criterion-production/product_images/1793-7dc1975ece4a55a7dda56e9e7886c225/enei07VgNgm835NhftB264Nc56YQVl_small.jpg,
Eclipse Series 18: Dušan Makavejev—Free Radical,,,,https://www.criterion.com/boxsets/668-eclipse-series-18-du-an-makavejev-free-radical,https://s3.amazonaws.com/criterion-production/product_images/1794-050c8e7aa2d3ba1ddbd296d108239cf1/shvY9H0K9PWixHcIAuuAUuKL7GcP2V_small.jpg,
Eclipse Series 19: Chantal Akerman in the Seventies,,,,https://www.criterion.com/boxsets/691-eclipse-series-19-chantal-akerman-in-the-seventies,https://s3.amazonaws.com/criterion-production/product_images/1944-5a7d21b7e4f89930b67e3804e42ff1b5/IhmrJ9KB68dQtY9ejACUGeDfs0b9BW_small.jpg,
Eclipse Series 1: Early Bergman,,,,https://www.criterion.com/boxsets/232-eclipse-series-1-early-bergman,https://s3.amazonaws.com/criterion-production/product_images/1777-0bf5a031bd21c3d35f64323b27f49d77/BYXas4KPZ66EXCahX6uErMaxE3Xs3e_small.jpg,
Eclipse Series 20: George Bernard Shaw on Film,,,,https://www.criterion.com/boxsets/696-eclipse-series-20-george-bernard-shaw-on-film,https://s3.amazonaws.com/criterion-production/product_images/1796-483b655ab9d1d9baba48eb94032f30af/WuPaxZ7TeTCvtv6NWaXAte4xs8Isbv_small.jpg,
Eclipse Series 21: Oshima’s Outlaw Sixties,,,,https://www.criterion.com/boxsets/720-eclipse-series-21-oshima-s-outlaw-sixties,https://s3.amazonaws.com/criterion-production/product_images/1797-318501db88ee1da4d45bdd9068dd99a8/8Twx2mnxI1L1ge7GVsY2J76hB2CXjL_small.jpg,
Eclipse Series 22: Presenting Sacha Guitry,,,,https://www.criterion.com/boxsets/736-eclipse-series-22-presenting-sacha-guitry,https://s3.amazonaws.com/criterion-production/product_images/1798-8d9b98e7cf85202e997b51d4ca11eb93/wY65gvPf1AlhK0jQI0nQhMrk94bjn8_small.jpg,
Eclipse Series 23: The First Films of Akira Kurosawa,,,,https://www.criterion.com/boxsets/743-eclipse-series-23-the-first-films-of-akira-kurosawa,https://s3.amazonaws.com/criterion-production/product_images/1799-fcaac95edb35eab1748fd0aa854780a9/uv1on3L75tq2TTgNYXA1xJJMo4tbSi_small.jpg,
Eclipse Series 24: The Actuality Dramas of Allan King,,,,https://www.criterion.com/boxsets/752-eclipse-series-24-the-actuality-dramas-of-allan-king,https://s3.amazonaws.com/criterion-production/product_images/1800-f100e87b531cd636a626ca5ba0cfc68f/LyPLSTAelMNwm5qImS7wgCpOZVthhM_small.jpg,
Eclipse Series 25: Basil Dearden’s London Underground,,,,https://www.criterion.com/boxsets/776-eclipse-series-25-basil-dearden-s-london-underground,https://s3.amazonaws.com/criterion-production/product_images/1801-f20f53bb95aa5f59c515e4ee49da6b9a/6qXfc82MIMrd3BPizcOOdvAgk7LkrV_small.jpg,
